Date,Country,Area,Activity,Injury,Fatal,Species
1703-03-26,Barbados,Southwest Coast,Swimming,"Hand and foot severely bitten, surgically amputated",N,
1738-04-06,Italy,Sicily,Swimming,FATAL,Y,
1751-07-27,Usa,Massachusetts,Swimming,FATAL,Y,
1753-10-27,Jamaica,,Fell overboard,FATAL,Y,
1771-07-12,Usa,,Fishing,FATAL,Y,
1780-08-08,Usa,Florida,Swimming,FATAL,Y,
1785-09-26,England,Sussex,,Human remains recovered from shark,Y,Tiger Shark
1786-08-10,Barbados,,Washing himself,FATAL,Y,
1787-07-05,,St Helena,Swimming,FATAL,Y,
1788-05-10,Australia,New South Wales,Fishing,"No injury to occupants, shark bit oar and rudder",N,
1792-09-12,England,,Fishing,"FATAL, PROVOKED INCIDENT",Y,
1804-02-26,Australia,New South Wales,,No injury to occupants,N,
1807-01-12,Australia,New South Wales,,Survived,N,
1808-02-07,India,,Bathing,FATAL,Y,
1808-12-25,Jamaica,,Swimming,FATAL,Y,
1810-09-15,Usa,South Carolina,Fell into the water,FATAL,Y,
1817-02-22,Sri Lanka,,Conch diver,Abdomen bitten,N,
1817-05-11,Sri Lanka,Western Province,Swimming,FATAL,Y,
1817-06-15,India,Maharashtra,Swimming,FATAL,Y,
1817-06-24,Usa,South Carolina,Swimming,FATAL,Y,
1822-04-15,Nigeria,Rivers State,,FATAL,Y,
1826-05-20,Jamaica,,Jumped overboard,FATAL,Y,
1826-08-15,England,Cumberland,Bathing,FATAL,,
1826-08-28,Cuba,,HBM Magpie foundered in a squall,FATAL ,Y,
1828-09-28,Sierra Leone,Western Area,"British ship, Britannia,  was loading lumber. He was bathing","Left arm severed 2.5"" from elbow, groin, abdomen, right forearm & hand lacerated, flesh removed from thigh, baring femur. Both arms surgically amputated: left arm above elbow, right arm above wrist. Survived",N,
1829-06-10,Usa,New Jersey,Fell overboard from the ship Gem,FATAL,Y,
1829-07-03,Sierra Leone,Western Area,,Both hands severed,N,
1830-04-30,India,Tamil Nadu,Bathing,FATAL,Y,
1830-07-02,India,Tamil Nadu,Washing a dog,FATAL,Y,
1830-07-26,Usa,Massachusetts,"Fishing from dory, shark upset boat & he fell into the water",FATAL,Y,
1831-08-24,Usa,Cuba,American schooner Orator capsized  ,FATAL,Y,
1832-01-23,Australia,New South Wales,Bathing,Laceration to leg,N,
1832-06-04,Australia,New South Wales,Fishing,Leg severed,N,
1834-07-15,French Polynesia,Society Islands,Swimming,FATAL,Y,Hammerhead Shark
1835-01-06,Tasman Sea,35�39 : 165�8',Hooking into a whale,"""Savagely bitten"" but apparently survived",N,
1835-02-21,Vanuatu,Sanma Province,Bathing,FATAL,Y,
1836-08-19,England,Cumberland,Swimming,FATAL,Y,
1837-01-17,Australia,New South Wales,Washing his feet,"FATAL     Injured by shark, died of tetanus",Y,
1837-09-09,Usa,South Carolina,Bathing,Right foot bittten,N,
1839-04-14,Cuba,Matanzas Province (North Coast),Sitting on gunwale of boat,FATAL,Y,Large Shark
1840-04-09,West Indies,,Swimming,FATAL,Y,
1840-07-22,Usa,South Carolina,Accidentally thrown overboard & treading water while awaiting rescue,"FATAL, body was not recovered",Y,
1840-09-18,Fiji,Viti Levu Island,,Arms & legs severed,N,
1841-03-27,Australia,New South Wales,Bathing,FATAL,Y,
1842-07-06,Usa,New Jersey,Harassing a shark,Lacerations to leg  PROVOKED INCIDENT,N,
1842-07-13,Usa,New Jersey,Swimming,Lacerations to leg,N,
1844-05-24,Coast Of Africa,Island Of St. Thomas,Fell overboard,FATAL,Y,
1844-07-20,Namibia,,Boat capsized,FATAL,Y,
1845-07-31,Usa,Florida,Fell overboard,FATAL,Y,
1845-09-10,Usa,Florida,Seine netting,FATAL,Y,
1845-11-04,Mexico,Vera Cruz,Bathing,FATAL,Y,
1845-12-26,Australia,New South Wales,Fishing,FATAL,Y,
1846-08-20,Cuba,Havana Province,Bathing,Leg severed,N,
1846-09-30,Africa,,Jumped into river,FATAL,Y,
1846-12-08,Mexico,Veracruz,Wreck of the USS Somers,"FATAL, some were taken by sharks",Y,
1847-02-12,Mexico,,Wreck of the Tweed,FATAL,Y,
1847-03-11,Australia,Queensland,Wreck of the Sovereign,Foot severed,N,
1847-07-03,Usa,Hawaii,Hilo,Head & arm bitten,N,
1847-07-19,Greece,Corfu,Swimming,FATAL,Y,
1847-09-10,Usa,Massachusetts,Wading,Lacerations to arm,N,
1847-11-30,Australia,Queensland,Swimming,Thigh & calf bitten,N,
1848-08-31,Usa,Maryland,Swimming,Left leg severely bitten,N,
1848-09-17,Turkey,Adana Province,Swimming,FATAL,Y,
1849-01-27,Australia,New South Wales,boat capsized,Torso bitten but may have been postmortem,,
1849-06-08,Usa,Florida,Bathing,FATAL,Y,
1849-06-08,Usa,Florida,Attempting to rescue woman seized by shark,FATAL,Y,
1849-09-19,Australia,Victoria,Swimming,FATAL,Y,
1849-10-04,Peru,,Swimming,FATAL,Y,
1849-12-01,Australia,New South Wales,Bathing,FATAL,Y,
1849-12-09,Australia,New South Wales,,FATAL,Y,
1850-01-22,New Zealand,North Island,Swimming,"FATAL, posterior thigh bared to femur, kneecap lacerated ",Y,
1850-10-21,Usa,Hawaii,Swimming after his hat,FATAL,Y,
1851-06-16,Mexico,Oaxaca,Bathing,FATAL,Y,
1852-02-26,South Africa,Western Cape Province,Wreck of the steamship Birkenhead,"FATAL. All of the women & children on board survived, but many of the 445 men that perished were taken by sharks",Y,White Shark
1852-05-24,South Africa,Kwazulu-Natal,Swimming from capsized boat,FATAL,Y,
1852-08-07,Tonga,Tongatapu,Fell overboard,FATAL,Y,
1852-10-09,Australia,New South Wales,Fell overboard,FATAL,Y,
1852-10-23,Pacific Ocean,Between Australia & Usa,Fishing,Foot bitten by hooked shark PROVOKED INCIDENT,N,
1852-12-19,Australia,New South Wales,Swimming,Shark involvement prior to death was not confirmed,,
1853-04-29,Greece,Corfu,Swimming,Leg severed at knee,N,Lb Shark
1853-07-13,Usa,South Carolina,Swimming,FATAL,Y,Tiger Shark
1853-11-08,Australia,New South Wales,Swimming,Leg bitten,N,
1855-02-12,Solomon Islands,Makira-Ulawa Province,Swimming ,FATAL,Y,
1855-03-28,Australia,South Australia,Fell overboard from the Sobella,FATAL,Y,
1855-04-09,Australia,South Australia,Fell overboard from the Malacca,FATAL,Y,
1855-09-30,Usa,North Carolina,ship William Penn grounded & broke apart,Foot bitten,N,
1855-11-11,Australia,Victoria,Swimming,FATAL,Y,
1856-02-06,Australia,Victoria,Swimming,Severe bite to thigh. Not known if he survived,,
1856-06-21,England,Isle Of Wight,Swimming,Survived,Y,
1856-11-25,Fiji,,Swimming,FATAL,Y,
1857-05-05,Usa,Florida,Swimming,FATAL,Y,
1858-01-09,Tonga,Vava'U,Jumped overboard while intoxicated,FATAL,Y,
1858-03-14,Australia,Victoria,Bathing,FATAL,Y,
1858-04-04,Tobago,,Bathing,"Leg bitten, surgically amputated",N,
1858-08-17,Usa,New York,Swimming,Thought to have been taken by a shark/s. Body not  recovered,,
1858-08-23,Usa,New York,Swimming,Thought to have been taken by a shark/s. Bodies not  recovered,,
1859-03-16,Usa,Hawaii,Fell overboard,FATAL,Y,
1860-03-11,Bahamas,New Providence Island,"In boat being towed by ship, Karnak",FATAL,Y,From Shark
1860-03-27,Cook Islands,Mangaia Island,43-ton schooner Irene capsized & sank,Probable drowning ,Y,
1860-08-01,Usa,New York,Swimming,Toe severed,N,
1860-12-26,Australia,New South Wales,Bathing,Lacerations to leg,N,
1861-01-15,Australia,Queensland,Bathing,Lacerations to fingers,N,
1861-02-12,Equatorial Guinea / Cameroon,Fernando Po Island,Swimming,FATAL,Y,
1861-09-25,Cuba,,Deserting the bark Nazarene,Lacerations,N,
1861-11-10,Singapore,,Bathing alongside the American ship Thomas W. Sears,FATAL,Y,
1862-05-05,South Africa,Kwazulu-Natal,Bathing,Lacerations,N,
1862-06-03,South Africa,Kwazulu-Natal,,"""Very severe wounds""",N,
1862-07-13,Spain,C�Diz,Swimming alongside the SS Kearsarge,FATAL,Y,
1862-07-14,Spain,C�Diz,,FATAL,Y,
1862-07-25,Spain,Malaga,Swimming,FATAL,Y,
1862-08-15,Spain,,Bathing,Survived,N,
1862-12-19,Australia,Queensland,Trying to catch a wounded bird,FATAL,Y,
1862-12-22,New Zealand,North Island,Swimming,Right thigh and left foot severely bitten,N,
1863-01-10,Australia,New South Wales,Bathing,FATAL,Y,
1863-02-05,South Africa,Kwazulu-Natal,"Swimming, caught in strong backwash & disappeared",3.2 m [10.5'] shark caught 9 days later contained human remains thought to be those of Canham,,
